Model,Accuracy,Macro F1
IndicBERTv2,0.4419,0.3561
XLM-RoBERTa,0.4535,0.3509
ResNet50 (Vision),0.3372,0.3143
VGG19 (Vision),0.3372,0.2929
ResNet50+mBERT,0.3488,0.259
ResNet50+IndicBERTv2,0.2326,0.2028
ResNet50+XLM-R,0.1628,0.1448
mBERT,0.093,0.0567
